BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Impact,N,358617,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358624,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358624,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358625,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358625,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358628,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358628,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358629,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358629,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358631,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358631,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358632,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358632,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358633,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358633,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358634,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358634,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358635,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358635,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358636,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358636,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358637,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358637,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358639,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358639,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,359556,1,Shoulder Strap,Shoulder Strap,1,
Impact,N,359556,2,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,362385,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,362386,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,362392,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,363001,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,370577,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,,
Impact,N,371907,1,1-Year Manufacturer's Warranty,1-Year Manufacturer's Warranty,1,
Impact,N,371916,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,371923,1,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,372016,1,Turtle Base C-Stand - 10.75' (Chrome),Turtle Base C-Stand - 10.75' (Chrome),1,371907
Impact,N,372016,2,"40"" Extension Grip Arm (Silver)","40"" Extension Grip Arm (Silver)",1,371916
Impact,N,372016,3,"Grip Head for Lights and Accessories - 2.5"" Diameter (Chrome)","Grip Head for Lights and Accessories - 2.5"" Diameter (Chrome)",1,371923
Impact,N,372016,4,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,386542,1,Black Fabric Background,Black Fabric Background,1,
Impact,N,386542,2,White Fabric Background,White Fabric Background,1,
Impact,N,386542,3,Translucent Plexiglass Panels,Translucent Plexiglass Panels,2,
Impact,N,386542,4,Zippered Storage Bag,Zippered Storage Bag,1,
Impact,N,386542,5,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,386543,1,Black Fabric Background,Black Fabric Background,1,
